AD0061;DESARROLLO HUMANO
IF0004;ALGORITMOS I
IF0011;ALGORITMOS II
AD0004;MATEMÁTICAS I
AD0020;MÉTODOS CUANTITATIVOS PARA ADMINISTRACIÓN
CO0085;ECONOMÍA LATINOAMERICANA
CO0053;HISTORIA DE AMÉRICA LATINA
CO0096;ECONOMÍA COLOMBIANA
CO0066;FUNDAMENTOS DE PENSAMIENTO ECONÓMICO
AD0011;MATEMÁTICAS II
AD0016;ESTADÍSTICA
IF0050;GERENCIA DE LA INFORMACIÓN
IF0035;ANÁLISIS Y DISEÑO DE SOFTWARE
ID0105;PRODUCCIÓN II
ID0104;PRODUCCIÓN I
ID0042;ESTUDIO DEL TRABAJO
AD0028;INGLÉS IV
AD0014;INGLÉS II
ED0055;PRÁCTICA DOCENTE III
ED0052;TRABAJO DE GRADO
ED0174;PROYECTO DE PRÁCTICA III
